movie,chapter,scene_counting,emotion,prediction
Harry Potter and the Philosopher's Stone,Three-Headed Sentinel,16,surprise,1
Harry Potter and the Philosopher's Stone,Three-Headed Sentinel,16,worry,2
Harry Potter and the Philosopher's Stone,Three-Headed Sentinel,16,empty,1
Harry Potter and the Philosopher's Stone,Facts and Feathers,17,hate,2
Harry Potter and the Philosopher's Stone,Facts and Feathers,17,neutral,3
Harry Potter and the Philosopher's Stone,Facts and Feathers,17,relief,2
Harry Potter and the Philosopher's Stone,Facts and Feathers,17,worry,3
Harry Potter and the Philosopher's Stone,Facts and Feathers,17,enthusiasm,1
Harry Potter and the Philosopher's Stone,Facts and Feathers,17,happiness,1
Harry Potter and the Philosopher's Stone,Facts and Feathers,17,sadness,1
Harry Potter and the Philosopher's Stone,Mountain Troll,18,hate,1
Harry Potter and the Philosopher's Stone,Mountain Troll,18,happiness,1
Harry Potter and the Philosopher's Stone,Mountain Troll,18,neutral,5
Harry Potter and the Philosopher's Stone,Mountain Troll,18,sadness,3
Harry Potter and the Philosopher's Stone,Mountain Troll,18,surprise,1
Harry Potter and the Philosopher's Stone,Mountain Troll,18,worry,7
Harry Potter and the Philosopher's Stone,Mountain Troll,18,fun,2
Harry Potter and the Philosopher's Stone,Quidditch,19,fun,1
Harry Potter and the Philosopher's Stone,Quidditch,19,worry,1
Harry Potter and the Philosopher's Stone,Quidditch,19,surprise,1
Harry Potter and the Philosopher's Stone,Quidditch,19,sadness,3
Harry Potter and the Philosopher's Stone,Quidditch,19,neutral,11
Harry Potter and the Philosopher's Stone,Quidditch,19,happiness,2
Harry Potter and the Philosopher's Stone,Quidditch,19,hate,1
Harry Potter and the Philosopher's Stone,Interference Overcome,20,worry,1
Harry Potter and the Philosopher's Stone,Interference Overcome,20,neutral,4
Harry Potter and the Philosopher's Stone,Christmas Gift,21,neutral,11
Harry Potter and the Philosopher's Stone,Christmas Gift,21,sadness,1
Harry Potter and the Philosopher's Stone,Christmas Gift,21,surprise,3
Harry Potter and the Philosopher's Stone,Christmas Gift,21,worry,5
Harry Potter and the Philosopher's Stone,Christmas Gift,21,hate,1
Harry Potter and the Philosopher's Stone,Christmas Gift,21,happiness,5
Harry Potter and the Philosopher's Stone,Cloaked in darkness,22,worry,1
Harry Potter and the Philosopher's Stone,Cloaked in darkness,22,sadness,1
Harry Potter and the Philosopher's Stone,Cloaked in darkness,22,neutral,1
Harry Potter and the Philosopher's Stone,Cloaked in darkness,22,happiness,1
Harry Potter and the Philosopher's Stone,Cloaked in darkness,22,enthusiasm,1
Harry Potter and the Philosopher's Stone,The Mirror of Erised,23,enthusiasm,2
Harry Potter and the Philosopher's Stone,The Mirror of Erised,23,happiness,1
Harry Potter and the Philosopher's Stone,The Mirror of Erised,23,neutral,2
Harry Potter and the Philosopher's Stone,The Mirror of Erised,23,sadness,1
Harry Potter and the Philosopher's Stone,The Mirror of Erised,23,surprise,2
Harry Potter and the Philosopher's Stone,The Mirror of Erised,23,fun,3
Harry Potter and the Philosopher's Stone,Norbert,24,enthusiasm,1
Harry Potter and the Philosopher's Stone,Norbert,24,fun,3
Harry Potter and the Philosopher's Stone,Norbert,24,hate,1
Harry Potter and the Philosopher's Stone,Norbert,24,love,1
Harry Potter and the Philosopher's Stone,Norbert,24,neutral,21
Harry Potter and the Philosopher's Stone,Norbert,24,relief,2
Harry Potter and the Philosopher's Stone,Norbert,24,sadness,2
Harry Potter and the Philosopher's Stone,Norbert,24,surprise,5
Harry Potter and the Philosopher's Stone,Norbert,24,worry,7
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,surprise,1
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,relief,1
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,neutral,3
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,love,1
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,happiness,2
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,fun,1
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,enthusiasm,1
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,empty,1
Harry Potter and the Philosopher's Stone,The Forbidden Forest,25,worry,9
Harry Potter and the Philosopher's Stone,Up to Something,26,neutral,2
Harry Potter and the Philosopher's Stone,Up to Something,26,worry,3
Harry Potter and the Philosopher's Stone,Up to Something,26,surprise,1
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,hate,2
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,surprise,7
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,fun,1
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,happiness,1
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,love,1
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,worry,11
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,neutral,13
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,relief,6
Harry Potter and the Philosopher's Stone,Through the Trapdoor,27,sadness,4
Harry Potter and the Philosopher's Stone,Wizard's Chess,28,neutral,3
Harry Potter and the Philosopher's Stone,Wizard's Chess,28,fun,1
Harry Potter and the Philosopher's Stone,Sacrifice Play,29,worry,2
Harry Potter and the Philosopher's Stone,Sacrifice Play,29,neutral,4
Harry Potter and the Philosopher's Stone,Sacrifice Play,29,happiness,1
Harry Potter and the Philosopher's Stone,Man With Two Faces,30,empty,1
Harry Potter and the Philosopher's Stone,Man With Two Faces,30,fun,1
Harry Potter and the Philosopher's Stone,Man With Two Faces,30,neutral,1
Harry Potter and the Philosopher's Stone,Man With Two Faces,30,worry,6
Harry Potter and the Philosopher's Stone,Man With Two Faces,30,sadness,1
Harry Potter and the Philosopher's Stone,Man With Two Faces,30,surprise,2
Harry Potter and the Philosopher's Stone,Magic Touch,31,worry,2
Harry Potter and the Philosopher's Stone,Magic Touch,31,neutral,2
Harry Potter and the Philosopher's Stone,Mark of Love,32,worry,2
Harry Potter and the Philosopher's Stone,Mark of Love,32,enthusiasm,1
Harry Potter and the Philosopher's Stone,Mark of Love,32,love,2
Harry Potter and the Philosopher's Stone,Mark of Love,32,surprise,2
Harry Potter and the Philosopher's Stone,Mark of Love,32,relief,1
Harry Potter and the Philosopher's Stone,Mark of Love,32,neutral,2
Harry Potter and the Philosopher's Stone,House Cup Winner,33,relief,1
Harry Potter and the Philosopher's Stone,House Cup Winner,33,happiness,1
Harry Potter and the Philosopher's Stone,Not Really Going Home,34,worry,3
Harry Potter and the Philosopher's Stone,Not Really Going Home,34,happiness,1
Harry Potter and the Philosopher's Stone,Not Really Going Home,34,sadness,2
Harry Potter and the Chamber of Secrets,In a cage,35,empty,2
Harry Potter and the Chamber of Secrets,In a cage,35,enthusiasm,1
Harry Potter and the Chamber of Secrets,In a cage,35,neutral,3
Harry Potter and the Chamber of Secrets,In a cage,35,surprise,3
Harry Potter and the Chamber of Secrets,In a cage,35,worry,3
